"homeWLP","visitingWLP","homeDiff","visitingDiff","homeLast8WLP","visitingLast8WLP","visitingWLPAsVisitor","homeWLPAsHome","winningTeam"
0,0,0,0,0,0,0,0,"HOME"
0,0,0,0,0,0,0,0,"HOME"
0,0,0,0,0,0,0,0,"HOME"
0,0,0,0,0,0,0,0,"HOME"
0,0,0,0,0,0,0,0,"HOME"
0,0,0,0,0,0,0,0,"HOME"
0,0,0,0,0,0,0,0,"HOME"
0,0,0,0,0,0,0,0,"HOME"
0,0,0,0,0,0,0,0,"HOME"
0,1,0,13,0,1,0,0,"HOME"
0,1,0,10,0,1,0,0,"VISITING"
0,0,0,0,0,0,0,0,"VISITING"
0,0,0,0,0,0,0,0,"HOME"
0,0,0,0,0,0,0,0,"HOME"
0,1,0,12,0,1,0,0,"HOME"
0,0,0,0,0,0,0,0,"HOME"
0,0,0,-10,0,0,0,0,"HOME"
0,1,-12,7,0,1,0,0,"HOME"
0,1,-13,31,0,1,0,0,"HOME"
0,1,-9,6,0,1,0,0,"HOME"
0,0,-6,-7,0,0,0,0,"VISITING"
0,0.5,-4,4,0,0.5,0,0,"HOME"
0,1,-13,4,0,1,0,0,"HOME"
1,1,13,9,1,1,0,1,"HOME"
0,0,-2,-13,0,0,0,0,"VISITING"
0,1,-7,11,0,1,0,0,"HOME"
1,0.5,2,-1,1,0.5,0,1,"VISITING"
0.5,1,-9,7,0.5,1,0,1,"VISITING"
0,1,-11,4,0,1,0,0,"VISITING"
1,0,13,-3,1,0,0,1,"HOME"
1,1,5,3,1,1,1,1,"HOME"
0,0,-7.5,-5,0,0,0,0,"HOME"
0,0.5,-12.5,-3.5,0,0.5,0,0,"HOME"
1,0.5,5.5,-5.5,1,0.5,0,1,"HOME"
1,0.5,7.5,-1,1,0.5,0,1,"HOME"
0.5,0.5,0.5,-2,0.5,0.5,0,1,"HOME"
0.5,0.5,10,-3.5,0.5,0.5,0,1,"HOME"
0,1,-3,10.5,0,1,0,0,"VISITING"
0.5,0.5,0,-0.5,0.5,0.5,0,0,"VISITING"
0.5,1,1,6.5,0.5,1,1,0,"HOME"
0.3333333333333333,0.5,-8,-1,0.3333333333333333,0.5,0,0.5,"HOME"
0.5,0,4,-6.5,0.5,0,0,1,"HOME"
0.3333333333333333,0.5,1.6666666666666714,-1.5,0.3333333333333333,0.5,0,1,"HOME"
0.3333333333333333,0,2.333333333333343,-9,0.3333333333333333,0,0,1,"HOME"
0.5,1,-8,8,0.5,1,0,0,"HOME"
0.5,1,3,12,0.5,1,0,1,"VISITING"
0.3333333333333333,0,-5.333333333333343,-7.666666666666671,0.3333333333333333,0,0,1,"HOME"
0.3333333333333333,1,-5.666666666666671,11,0.3333333333333333,1,1,1,"HOME"
1,0.6666666666666666,4.666666666666671,10.333333333333343,1,0.6666666666666666,0,1,"VISITING"
0.6666666666666666,1,2.3333333333333286,10.666666666666657,0.6666666666666666,1,1,1,"HOME"
0.3333333333333333,0.3333333333333333,-6,-1.3333333333333286,0.3333333333333333,0.3333333333333333,0,0.5,"VISITING"
0.3333333333333333,0,-8,-5.666666666666657,0.3333333333333333,0,0,1,"HOME"
0.3333333333333333,0.3333333333333333,-1,-9.333333333333329,0.3333333333333333,0.3333333333333333,0,0.5,"VISITING"
0.6666666666666666,0.5,4.333333333333329,-5.5,0.6666666666666666,0.5,0,1,"HOME"
0,0.6666666666666666,-8.5,1,0,0.6666666666666666,0.5,0,"VISITING"
0.6666666666666666,1,6,10,0.6666666666666666,1,1,1,"VISITING"
0.6666666666666666,0.75,4,3.25,0.6666666666666666,0.75,0.5,1,"VISITING"
0.6666666666666666,0.5,2,4.25,0.6666666666666666,0.5,0,1,"VISITING"
0.3333333333333333,0.6666666666666666,-1.3333333333333286,3,0.3333333333333333,0.6666666666666666,0,0.5,"VISITING"
0,0,-7.5,-8.25,0,0,0,0,"HOME"
0.5,0.5,-5.75,-0.75,0.5,0.5,0.5,1,"HOME"
1,0.3333333333333333,9.5,-4.666666666666657,1,0.3333333333333333,0,1,"HOME"
0.3333333333333333,0.5,-2.3333333333333286,-4,0.3333333333333333,0.5,0,0,"HOME"
0.6666666666666666,0.75,-3,8,0.6666666666666666,0.75,0,1,"HOME"
0.75,0.75,8,12.75,0.75,0.75,0.5,1,"VISITING"
0.5,0.75,6.5,6.5,0.5,0.75,0.5,1,"HOME"
0.75,0,-1.5,-9.333333333333329,0.75,0,0,0.6666666666666666,"VISITING"
0.75,0.75,2.75,3.75,0.75,0.75,0.5,1,"HOME"
0.5,0.25,-2.25,-2.5,0.5,0.25,0,1,"VISITING"
0,0.5,-8.333333333333343,0.25,0,0.5,0.3333333333333333,0,"HOME"
0.8,0.4,5.6000000000000085,-8.200000000000003,0.8,0.4,0,1,"VISITING"
0.6,0.6,5.200000000000003,3.6000000000000085,0.6,0.6,0.3333333333333333,1,"HOME"
0.6,0.2,6.800000000000011,-4,0.6,0.2,0,1,"VISITING"
0.25,0.5,-3.5,-2,0.25,0.5,0,0,"HOME"
0.6,0.25,-4.200000000000003,-2,0.6,0.25,0,1,"VISITING"
0.25,0,-7.75,-8.599999999999994,0.25,0,0,1,"HOME"
0.6,0.4,-4,-4.200000000000003,0.6,0.4,0,0.5,"HOME"
0.6,0.6,3.799999999999997,3.5999999999999943,0.6,0.6,0,0.6666666666666666,"HOME"
0.6,0.25,2.4000000000000057,-5.75,0.6,0.25,0,1,"HOME"
0.5,0.75,2.5,1.25,0.5,0.75,0.5,0.6666666666666666,"VISITING"
0.8,0.8,2.799999999999997,12.799999999999997,0.8,0.8,0.6666666666666666,1,"HOME"
1,0.4,11,-1,1,0.4,0.3333333333333333,1,"HOME"
0.4,0.5,1,-6.666666666666671,0.4,0.5,0.3333333333333333,0.3333333333333333,"HOME"
0.5,0.25,-0.75,-5.75,0.5,0.25,0,0.5,"HOME"
0.4,0.5,-0.20000000000000284,5.333333333333329,0.4,0.5,0,1,"HOME"
0.6666666666666666,0.3333333333333333,5.166666666666657,-3,0.6666666666666666,0.3333333333333333,0.25,1,"VISITING"
0.4,1,-2.4000000000000057,10.333333333333343,0.4,1,1,1,"VISITING"
0.3333333333333333,0.6666666666666666,-6,-0.8333333333333286,0.3333333333333333,0.6666666666666666,1,1,"HOME"
0.5,0.5,-0.5,1.6666666666666714,0.5,0.5,0,0.5,"VISITING"
0.4,0.6666666666666666,-4.800000000000011,10.333333333333343,0.4,0.6666666666666666,0.5,0.6666666666666666,"HOME"
0.6666666666666666,0.5,4.5,2.1666666666666714,0.6666666666666666,0.5,0.25,0.6666666666666666,"VISITING"
0.3333333333333333,0,-2,-11.166666666666657,0.3333333333333333,0,0,0.5,"HOME"
0.2,0.6,-7.200000000000003,2,0.2,0.6,0.5,0.3333333333333333,"VISITING"
0.42857142857142855,0.6666666666666666,-7.285714285714278,4.5,0.42857142857142855,0.6666666666666666,0.5,0.6666666666666666,"VISITING"
0.8,0.4,2.799999999999997,-2,0.8,0.4,0.3333333333333333,1,"HOME"
0.4,0.8333333333333334,0.3999999999999915,2.6666666666666714,0.4,0.8333333333333334,0.6666666666666666,0.3333333333333333,"VISITING"
0.6666666666666666,0.5,3.833333333333343,2.666666666666657,0.6666666666666666,0.5,0.5,1,"HOME"
0.5,0.5,-5.166666666666671,1.5,0.5,0.5,0.25,0.6666666666666666,"VISITING"
0.42857142857142855,0.42857142857142855,-2.4285714285714306,3.142857142857139,0.42857142857142855,0.42857142857142855,0,0.5,"HOME"
0.4,0.42857142857142855,-1.4000000000000057,-4.857142857142861,0.4,0.42857142857142855,0,1,"HOME"
0,0.2,-13,-6.799999999999997,0,0.2,0,0,"VISITING"
0.6666666666666666,0.4,3.5,0.20000000000000284,0.6666666666666666,0.4,0,0.6666666666666666,"HOME"
0.5714285714285714,0.42857142857142855,2,1.7142857142857082,0.5714285714285714,0.42857142857142855,0.25,0.5,"HOME"
1,0.5,9.57142857142857,-1,1,0.5,0,1,"HOME"
0.5714285714285714,0.7142857142857143,3.714285714285708,7.142857142857139,0.5714285714285714,0.7142857142857143,0.6666666666666666,1,"HOME"
0.5714285714285714,0.8571428571428571,-1,6.714285714285708,0.5714285714285714,0.8571428571428571,0.75,0.6,"VISITING"
0.5714285714285714,0.3333333333333333,2.5714285714285694,-1.8333333333333286,0.5714285714285714,0.3333333333333333,0.25,1,"HOME"
0.5714285714285714,0.3333333333333333,6.285714285714278,-0.8333333333333286,0.5714285714285714,0.3333333333333333,0,1,"HOME"
0.375,0.42857142857142855,-9.25,1.2857142857142918,0.375,0.42857142857142855,0.3333333333333333,0.5,"HOME"
0.5714285714285714,0.4,4.285714285714278,-2,0.5714285714285714,0.4,0.5,0.75,"HOME"
0.5714285714285714,0.3333333333333333,2.5714285714285694,-4.833333333333329,0.5714285714285714,0.3333333333333333,0.5,1,"VISITING"
0.5,0.42857142857142855,-0.25,-5.714285714285708,0.5,0.42857142857142855,0.3333333333333333,0.6666666666666666,"VISITING"
0.16666666666666666,0.3333333333333333,-7.833333333333343,-2.833333333333343,0.16666666666666666,0.3333333333333333,0,0.25,"HOME"
0.625,0.375,6,-6.125,0.625,0.375,0,0.75,"HOME"
0.3333333333333333,0.4444444444444444,-2.5,-5.8888888888889,0.3333333333333333,0.375,0.25,0.3333333333333333,"HOME"
0.5,0.625,-3.875,2.5,0.5,0.625,0.6666666666666666,0.5,"HOME"
0.625,0.8333333333333334,3.5,2.5,0.625,0.8333333333333334,0.6666666666666666,1,"HOME"
0.875,0.2857142857142857,8.875,-3,0.875,0.2857142857142857,0.2,1,"HOME"
0,0.375,-13.75,-1.5,0,0.375,0.25,0,"HOME"
0.42857142857142855,0.375,-3.142857142857153,0.75,0.42857142857142855,0.375,0.2,0.75,"VISITING"
0.7142857142857143,0.7142857142857143,3.857142857142847,4.285714285714292,0.7142857142857143,0.7142857142857143,0.3333333333333333,0.75,"HOME"
0.375,0.3333333333333333,0.875,-5.5,0.375,0.3333333333333333,0.3333333333333333,0.75,"HOME"
0.625,0.7142857142857143,7.75,1,0.625,0.7142857142857143,0.5,1,"HOME"
0.42857142857142855,0.5555555555555556,-3.5714285714285694,1.5555555555555571,0.42857142857142855,0.5,0.5,0.25,"VISITING"
0.5,0.5555555555555556,1.75,-2.7777777777777857,0.5,0.5,0.5,0.6666666666666666,"HOME"
