"homeInjuries","visitingInjuries","homeWLP","visitingWLP","homeDiff","visitingDiff","homeLast8WLP","visitingLast8WLP","visitingWLPAsVisitor","homeWLPAsHome","winningTeam"
0.01,2,0,0,0,0,0,0,0,0,"HOME"
2,1,0,0,0,0,0,0,0,0,"HOME"
0.01,0.01,0,0,0,0,0,0,0,0,"VISITING"
1,0.01,0,0,0,0,0,0,0,0,"HOME"
0.01,1,0,1,0,8,0,1,1,0,"HOME"
2,2,0,0,0,0,0,0,0,0,"HOME"
1,0.01,0,0,0,0,0,0,0,0,"VISITING"
0.01,2,0,0,0,0,0,0,0,0,"VISITING"
2,0.01,0,0,0,0,0,0,0,0,"VISITING"
1,1,0,0,0,0,0,0,0,0,"HOME"
0.01,0.01,0,0,0,-8,0,0,0,0,"HOME"
0.01,2,0,0,0,0,0,0,0,0,"VISITING"
2,3,1,0,4,0,1,0,0,0,"HOME"
1,0.01,0,1,0,9,0,1,1,0,"VISITING"
2,2,0,0,-13,0,0,0,0,0,"VISITING"
1,0.01,0,1,-4,2,0,1,1,0,"HOME"
3,1,1,1,10,6,1,1,0,1,"VISITING"
1,2,0,0,0,-9,0,0,0,0,"HOME"
0.01,1,0,0,-2,-9,0,0,0,0,"HOME"
2,1,1,0,2,-9,1,0,0,0,"VISITING"
1,1,0,1,-9,9,0,1,0,0,"VISITING"
0.01,0.01,0.5,1,-1.5,19,0.5,1,0,0.5,"HOME"
0.01,0.01,0,0,0,-6,0,0,0,0,"HOME"
2,0.01,0,1,-2,10,0,1,0,0,"HOME"
1,1,0,1,0,13,0,1,0,0,"HOME"
1,2,0,0,-10,-12,0,0,0,0,"VISITING"
2,2,0,0,0,-2,0,0,0,0,"HOME"
1,0.01,0.5,0.6666666666666666,-5.5,-0.3333333333333286,0.5,0.6666666666666666,0,0,"HOME"
1,0.01,1,0.5,17.5,-7,1,0.5,0,1,"VISITING"
2,2,1,0.5,11,-9.5,1,0.5,0,0,"HOME"
0.01,1,0.5,0,-3.5,-11,0.5,0,0,1,"HOME"
1,1,1,0.5,9.5,-4,1,0.5,1,1,"VISITING"
0.01,0.01,1,0.5,8,-2,1,0.5,0,0,"VISITING"
0.01,0.01,0.5,0,0.5,-9,0.5,0,0,0,"HOME"
2,0.01,1,0.5,3,8.5,1,0.5,0,1,"HOME"
3,1,0.5,0,6,-7,0.5,0,0,1,"VISITING"
0.01,1,0,0,-9.333333333333343,-6,0,0,0,0,"HOME"
2,0.01,0,1,-4.5,12,0,1,0,0,"HOME"
1,0.01,1,0.5,13,0.5,1,0.5,0,1,"HOME"
1,1,1,1,20,9,1,1,0,1,"HOME"
2,0.01,1,0.5,7,-3.5,1,0.5,0,1,"VISITING"
1,3,0.6666666666666666,0.3333333333333333,5,-7.333333333333329,0.6666666666666666,0.3333333333333333,0,0.5,"VISITING"
1,0.01,0.6666666666666666,0.6666666666666666,5.333333333333329,2,0.6666666666666666,0.6666666666666666,0.5,1,"HOME"
0.01,1,0,0.6666666666666666,-8.666666666666671,-1.3333333333333428,0,0.6666666666666666,1,0,"HOME"
2,0.01,1,0.6666666666666666,5.333333333333329,3,1,0.6666666666666666,0.5,1,"HOME"
1,0.01,0.5,0.3333333333333333,0.5,2.333333333333343,0.5,0.3333333333333333,0,0,"HOME"
1,0.01,0.6666666666666666,0.3333333333333333,-1.3333333333333286,-6.666666666666671,0.6666666666666666,0.3333333333333333,0,1,"HOME"
1,1,0.5,1,-3.5,18,0.5,1,0,1,"VISITING"
1,1,0.6666666666666666,1,9.333333333333343,17,0.6666666666666666,1,0,0.5,"HOME"
2,1,0,0,-8.333333333333343,-13.666666666666671,0,0,0,0,"HOME"
3,2,0.3333333333333333,0.3333333333333333,1,3.333333333333343,0.3333333333333333,0.3333333333333333,0,0.5,"HOME"
1,0.01,0.5,0.5,1,-3.25,0.5,0.5,0.3333333333333333,0,"HOME"
2,1,0.3333333333333333,0,-7,-6.5,0.3333333333333333,0,0,0,"HOME"
1,2,0.75,0.5,5.25,-2,0.75,0.5,0,1,"HOME"
0.01,0.01,0.6,0.25,-4.200000000000003,-11.25,0.6,0.25,0,0.6666666666666666,"VISITING"
1,2,0.5,0.5,-1.5,-3.75,0.5,0.5,0.5,0,"HOME"
1,2,0.75,0.25,9.75,-2.5,0.75,0.25,0,1,"HOME"
0.01,1,0.6666666666666666,0.25,2,-3.25,0.6666666666666666,0.25,0,0,"VISITING"
0.01,1,0.25,0,-6,-13.25,0.25,0,0,1,"HOME"
1,2,0.5,1,2,9.5,0.5,1,1,0.3333333333333333,"HOME"
